Item,Item Name,Item Group,Warehouse,Stock UOM,Balance Qty,Balance Value,Opening Qty,Opening Value,In Qty,In Value,Out Qty,Out Value,Valuation Rate,Reserved Stock,Company
RESPIRA TEA,RESPIRA LUNG TEA,Novacare,Chidimma maryjane Iloegbunam Logistics - Novacare Ltd - NL,Nos,26,46800,26,46800,0,0,0,0,1800,0,Novacare Ltd
ALPHA MAN TEA,ALPHA MAN HERBAL TEA,Novacare,Ibrahim Abdulrashid Logistics - Novacare Ltd - NL,Nos,15,30000,16,32000,0,0,1,2000,2000,0,Novacare Ltd
RESPIRA TEA,RESPIRA LUNG TEA,Novacare,Ibrahim Abdulrashid Logistics - Novacare Ltd - NL,Nos,10,18000,11,19800,0,0,1,1800,1800,0,Novacare Ltd
ALPHA MAN TEA,ALPHA MAN HERBAL TEA,Novacare,Omoga Victor Ohe-obe Logistics - Novacare Ltd - NL,Nos,12,24000,22,44000,0,0,10,20000,2000,0,Novacare Ltd
RESPIRA TEA,RESPIRA LUNG TEA,Novacare,Omoga Victor Ohe-obe Logistics - Novacare Ltd - NL,Nos,4,7200,12,21600,0,0,8,14400,1800,0,Novacare Ltd
ALPHA MAN TEA,ALPHA MAN HERBAL TEA,Novacare,Olagunju Damilola Logistics - Novacare Ltd - NL,Nos,10,20000,19,38000,0,0,9,18000,2000,0,Novacare Ltd
RESPIRA TEA,RESPIRA LUNG TEA,Novacare,Olagunju Damilola Logistics - Novacare Ltd - NL,Nos,14,25200,26,46800,0,0,12,21600,1800,0,Novacare Ltd
ALPHA MAN TEA,ALPHA MAN HERBAL TEA,Novacare,Abu Momoh Logistics - Novacare Ltd - NL,Nos,56,112000,56,112000,0,0,0,0,2000,0,Novacare Ltd
RESPIRA TEA,RESPIRA LUNG TEA,Novacare,Abu Momoh Logistics - Novacare Ltd - NL,Nos,53,95400,53,95400,0,0,0,0,1800,0,Novacare Ltd
RESPIRA TEA,RESPIRA LUNG TEA,Novacare,John Hamza shuaibu Logistics - Novacare Ltd - NL,Nos,19,34200,36,64800,0,0,17,30600,1800,0,Novacare Ltd
ALPHA MAN TEA,ALPHA MAN HERBAL TEA,Novacare,John Hamza shuaibu Logistics - Novacare Ltd - NL,Nos,3,6000,63,126000,0,0,60,120000,2000,0,Novacare Ltd
